rowID;ref_Label;gz_id;lugar_nombre;lugar_variantes;toponym-match;toponym-score;saint-match;category-match;territories-match;phase-1-outcome;ref_START;ref_END;ref_Partido;ref_Obispado;ref_Audiencia;manual_region;manual_province;manual_district;manual_ciudad_villa_only
177;Caylloma;6000070;Asiento de Caylloma;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1769.0;1769.0;;Arequipa;;;;;False
178;Huanchaco;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
179;Pinchuichuru;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
180;Surite;6000166;Surite;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1768.0;1768.0;;;Lima;;;;False
181;Abancay;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
182;Chala;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
183;Callalli;6000073;Callalli;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1769.0;1769.0;Caylloma;;;;;;False
184;Sicasica;8000034;Sicasica;Sica Sica @;toponym_label;1;saint_null;category_null;matched;auto_adopt;1769.0;1769.0;;La Plata;;;;;False
185;Achacacha;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
186;Laxa;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
187;Omasuyu;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
188;Chulumani;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
189;La Asunción;6001243;Asuncion;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1769.0;1769.0;Cajamarca;;;;;;False
190;Caylloma;6000070;Asiento de Caylloma;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1769.0;1769.0;;Arequipa;;;;;False
191;Sicuani;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
192;Caylloma;6000070;Asiento de Caylloma;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1770.0;1770.0;;Arequipa;;;;;False
193;Totora;8000044;Totora;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1770.0;1770.0;Carangas;;;;;;False
194;Curaguara;8000020;Curaguara de Carangas;Curugara @  Espiritu Santo @;toponym_label;1;saint_null;category_null;matched;auto_adopt;1770.0;1770.0;Carangas;;;;;;False
195;Morrope;6001431;Morrope;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1770.0;1770.0;;Trujillo;;;;;False
196;Pacora;6001420;Pacora;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1770.0;1770.0;;;Lima;;;;False
197;Jayanca;6001422;Jayanca;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1770.0;1770.0;;;Lima;;;;False
198;Sana;6001415;Saña;Santiago de Miraflores @;toponym_label;1;saint_null;category_null;matched;auto_adopt;1770.0;1770.0;;Trujillo;;;;;False
199;Jesus de Machaca;8000127;Jesus de Machaca;;toponym_label;1;saint_mismatch;category_null;matched;adopted_candidate;1771.0;1771.0;Pacajes;La Paz;;;;;False
200;Quechualla;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
