rowID;ref_Label;gz_id;toponym-match;toponym-score;saint-match;category-match;territories-match;phase-1-outcome;ref_Region;ref_START;ref_END;manual_region;manual_province;manual_district;manual_ciudad_villa_only
266;San Juan del Río;;null;0;null;null;no_matches_all_levels;relegated;GDJ;1111;9999;;;;False
267;Valle de San Bartolomé;;null;0;null;null;no_matches_all_levels;relegated;GDJ;1111;9999;;;;False
268;Acaponeta;;null;0;null;null;no_matches_all_levels;relegated;GDJ;1111;9999;;;;False
269;Autlan;;null;0;null;null;no_matches_all_levels;relegated;GDJ;1111;9999;;;;False
270;Bolaños;;null;0;null;null;no_matches_all_levels;relegated;GDJ;1111;9999;;;;False
271;Cuquio;;null;0;null;null;no_matches_all_levels;relegated;GDJ;1111;9999;;;;False
272;Ahualulco;;null;0;null;null;no_matches_all_levels;relegated;GDJ;1111;9999;;;;False
273;Guachinango;;null;0;null;null;no_matches_all_levels;relegated;GDJ;1111;9999;;;;False
274;Real de San Sebastián;;null;0;null;null;no_matches_all_levels;relegated;GDJ;1111;9999;;;;False
275;Hostotipaquillo;;null;0;null;null;no_matches_all_levels;relegated;GDJ;1111;9999;;;;False
276;La Barca;;null;0;null;null;no_matches_all_levels;relegated;GDJ;1111;9999;;;;False
277;Lagos;;null;0;null;null;no_matches_all_levels;relegated;GDJ;1111;9999;;;;False
278;San Blas;;null;0;null;null;no_matches_all_levels;relegated;GDJ;1111;9999;;;;False
279;Sayula;;null;0;null;null;no_matches_all_levels;relegated;GDJ;1111;9999;;;;False
280;Tala;;null;0;null;null;no_matches_all_levels;relegated;GDJ;1111;9999;;;;False
281;Tepatitlan;;null;0;null;null;no_matches_all_levels;relegated;GDJ;1111;9999;;;;False
282;Tepic;;null;0;null;null;no_matches_all_levels;relegated;GDJ;1111;9999;;;;False
283;Tequila;;null;0;null;null;no_matches_all_levels;relegated;GDJ;1111;9999;;;;False
284;Tlajomulco;;null;0;null;null;no_matches_all_levels;relegated;GDJ;1111;9999;;;;False
285;Tomatlan;;null;0;null;null;no_matches_all_levels;relegated;GDJ;1111;9999;;;;False
286;Tuxcacuesco;;null;0;null;null;no_matches_all_levels;relegated;GDJ;1111;9999;;;;False
287;Zapotlán el Grande;;null;0;null;null;no_matches_all_levels;relegated;GDJ;1111;9999;;;;False
288;Celaya;;null;0;null;null;no_matches_all_levels;relegated;NES;1111;9999;;;;False
289;San Sebastián de León;;null;0;null;null;no_matches_all_levels;relegated;NES;1111;9999;;;;False
290;San Luis de la Paz;;null;0;null;null;no_matches_all_levels;relegated;NES;1111;9999;;;;False
291;San Miguel el Grande;;null;0;null;null;no_matches_all_levels;relegated;NES;1111;9999;;;;False
292;San Nicolás de Actopan;;null;0;null;null;no_matches_all_levels;relegated;NES;1111;9999;;;;False
