rowID;ref_Label;level;gz_id;fuzzy_score;category_match;saint_match;territories_match;phase_1a_outcome;toponym_match;lugar_label;lugar_partido_generico;lugar_provincia_generica;fine_level_mismatch;GZ_ID;Contexto-Sup1;Contexto-Sup2;ref_Jurisdiccion;Contexto-Sup4;ref_Region;ref_START;ref_END;phase_1b_step
7463;Quillacas;Curato;8000054;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;exact;Atun Quillacas;Paria;Charcas;;;;Quillacas;Paria;;CHA;1777;1777;
7464;Challacollo;Curato;8000052;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;toponym_nombre;Challacollo;Paria;Charcas;;;;Challacollo;Paria;;CHA;1777;1777;
7465;Toledo;Curato;8000053;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;toponym_nombre;Toledo;Paria;Charcas;;;;Toledo;Paria;;CHA;1777;1777;
7466;Poopo;Curato;8000021;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;toponym_nombre;Poopo;Paria;Charcas;;;;Poopo;Paria;;CHA;1777;1777;
7467;Salinas de Garcimendoza;Curato;8000011;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;toponym_nombre;Salinas;Paria;Charcas;;;;Salinas de Garcimendoza;Paria;;CHA;1777;1777;
7468;Santiago de Tomina;Curato;8000013;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;exact;Tomina;Tomina;Charcas;;;;Santiago de Tomina;Tomina;;CHA;1777;1777;
7469;Laguna;Curato;8000012;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;exact;La Laguna;Tomina;Charcas;;;;Laguna;Tomina;;CHA;1777;1777;
7470;Tacopaya;Curato;8000068;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;toponym_nombre;Tacopaya;Tomina;Charcas;;;;Tacopaya;Tomina;;CHA;1777;1777;
7471;Morocoya;Curato;8000063;875;category_null;no_saint;jurisdiccion_exact;adopted_candidate;fuzzy;Mojocoya;Tomina;Charcas;;;;Morocoya;Tomina;;CHA;1777;1777;
7472;Pomabamba;Curato;8000023;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;toponym_nombre;Pomabamba;Pomabamba;Charcas;;;;Pomabamba;Tomina;;CHA;1777;1777;
7473;Presto;Curato;8000064;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;toponym_nombre;Presto;Tomina;Charcas;;;;Presto;Tomina;;CHA;1777;1777;
7474;Villar;Curato;8000067;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;toponym_nombre;Villar;Tomina;Charcas;;;;Villar;Tomina;;CHA;1777;1777;
7475;Tarabuco;Curato;8000065;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;toponym_nombre;Tarabuco;Tomina;Charcas;;;;Tarabuco;Tomina;;CHA;1777;1777;
7476;Sopachuy;Curato;8000066;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;toponym_nombre;Sopachuy;Tomina;Charcas;;;;Sopachuy;Tomina;;CHA;1777;1777;
7477;Colquemarca;Curato;8000048;909;category_null;no_saint;jurisdiccion_exact;auto_adopt;fuzzy;Corquemarca;Carangas;Charcas;;;;Colquemarca;Carangas;;CHA;1777;1777;
7478;Chuquicota;Curato;8000046;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;exact;Choquecota;Carangas;Charcas;;;;Chuquicota;Carangas;;CHA;1777;1777;
7479;Guayllamarca;Curato;8000045;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;toponym_nombre;Guayllamarca;Carangas;Charcas;;;;Guayllamarca;Carangas;;CHA;1777;1777;
7480;Totora;Curato;8000044;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;toponym_nombre;Totora;Carangas;Charcas;;;;Totora;Carangas;;CHA;1777;1777;
7481;Turco;Curato;8000043;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;toponym_nombre;Turco;Carangas;Charcas;;;;Turco;Carangas;;CHA;1777;1777;
7482;Curaguara;Curato;8000020;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;exact;Curaguara;Carangas;Charcas;;;;Curaguara;Carangas;;CHA;1777;1777;
7483;Andamarca;Curato;8000047;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;toponym_nombre;Andamarca;Carangas;Charcas;;;;Andamarca;Carangas;;CHA;1777;1777;
7484;Guachacalla;Curato;8000042;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;toponym_nombre;Guachacalla;Carangas;Charcas;;;;Guachacalla;Carangas;;CHA;1777;1777;
7485;Pilaya;Curato;8000061;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;exact;Loma;Pilaya y Paspaya;Charcas;;;;Pilaya;Pilaya;;CHA;1777;1777;
7486;Acchilla;Curato;8000058;875;category_null;no_saint;jurisdiccion_exact;adopted_candidate;fuzzy;Agchilla;Pilaya y Paspaya;Charcas;;;;Acchilla;Pilaya;;CHA;1777;1777;
7487;Santa Elena;Curato;8000060;1.0;category_null;saint_match;jurisdiccion_exact;auto_adopt;toponym_nombre;Santa Elena;Pilaya y Paspaya;Charcas;;;;Santa Elena;Pilaya;;CHA;1777;1777;
7488;San Lucas;Curato;8000057;1.0;category_null;saint_match;jurisdiccion_exact;adopted_candidate;exact;Payacollo;Pilaya y Paspaya;Charcas;;;;San Lucas;Pilaya;;CHA;1777;1777;
7489;Pisuani;Curato;8000059;;pending;pending;unknown;adopted_relegated;none;Pirguani;Pilaya y Paspaya;Charcas;False;;;Pisuani;Pilaya;;CHA;1777;1777;
7490;Sinti;Curato;8000022;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;toponym_nombre;Cinti;Pilaya y Paspaya;Charcas;;;;Sinti;Pilaya;;CHA;1777;1777;
7491;Sicasica;Curato;8000034;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;toponym_nombre;Sicasica;Sicasica;La Paz;;;;Sicasica;Sicasica;;CHA;1777;1777;
7492;Yaco;Curato;8000132;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;toponym_nombre;Yaco;Sicasica;La Paz;;;;Yaco;Sicasica;;CHA;1777;1777;
7493;Luribay;Curato;8000138;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;toponym_nombre;Luribay;Sicasica;La Paz;;;;Luribay;Sicasica;;CHA;1777;1777;
7494;Mohosa;Curato;8000137;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;toponym_nombre;Mohosa;Sicasica;La Paz;;;;Mohosa;Sicasica;;CHA;1777;1777;
7495;Cavari;Curato;8000135;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;toponym_nombre;Cabari;Sicasica;La Paz;;;;Cavari;Sicasica;;CHA;1777;1777;
