rowID;ref_START;ref_END;Type;ref_Label;Location2;Location3;Location4;ref_Partido;ref_Obispado;ref_Audiencia;Country;Motive;Details;Source;Unnamed: 13;OBJECTID;ID_0;ISO;NAME_0;ID_1;NAME_1;ID_2;NAME_2;ID_3;NAME_3
120;1780;1780;Rebellion or revolt;Otuzco;;;;;;Lima;;against revisita;;O'Phelan, p. 286;;1150;178;PER;Peru;13;La Libertad;118;Otuzco;1150;Otuzco
121;1780;1780;Rebellion or revolt;Huamachuco;;;;;Trujillo;;;against revisita;;O'Phelan, p. 286;;1176;178;PER;Peru;13;La Libertad;121;Sánchez Carrión;1176;Huamachuco
122;1780;1780;Rebellion or revolt;Huamanga;;;;;Huamanga;;;against corregidor;;O'Phelan, p. 286;;447;178;PER;Peru;5;Ayacucho;44;Huamanga;447;Ayacucho
123;1780;1780;Rebellion or revolt;Tinta;;;;;Cuzco;;;led by Tupac Amaru;against alcabalas, repartos, tributos, mitas.;O'Phelan, p. 286;;718;178;PER;Peru;8;Cusco;72;Canchis;718;Tinta
124;1780;1780;Rebellion or revolt;Quipicanchis;;;;;Cuzco;;;several villages in Quispicanchis;;O'Phelan, p. 286;;777;178;PER;Peru;8;Cusco;79;Quispicanchi;777;Oropesa
125;1780;1780;Rebellion or revolt;Chumbivilcas;;;;;Cuzco;;;113 spread to the province ;;O'Phelan, p. 286;;725;178;PER;Peru;8;Cusco;73;Chumbivilcas;725;Santo Tomas
126;1780;1780;Rebellion or revolt;Condoroma;;;;;Arequipa;;;113 spread to mines of Condoroma;;O'Phelan, p. 286;;736;178;PER;Peru;8;Cusco;75;Espinar;736;Condoroma
127;1780;1780;Rebellion or revolt;Carabaya;;;;;La Paz;;;113 spread to villages in Carabaya;;O'Phelan, p. 286;;1598;178;PER;Peru;22;Puno;162;Carabaya;1598;Macusani
128;1780;1780;Rebellion or revolt;Paucartambo;;;;;Cuzco;;;113 spread to Paucartambo;;O'Phelan, p. 286;;767;178;PER;Peru;8;Cusco;78;Paucartambo;767;Paucartambo
129;1780;1780;Rebellion or revolt;Paruro;;;;;Cuzco;;;113 spread to Paruro;;O'Phelan, p. 286;;759;178;PER;Peru;8;Cusco;77;Paruro;759;Paruro
130;1780;1780;Rebellion or revolt;Lampa;;;;;La Paz;;;113 spread to Lampa;;O'Phelan, p. 286;;1625;178;PER;Peru;22;Puno;167;Lampa;1625;Lampa
131;1780;1780;Rebellion or revolt;Azangaro;;;;;Cuzco;;;113 spread;;O'Phelan, p. 286;;1579;178;PER;Peru;22;Puno;161;Azángaro;1579;Azangaro
132;1780;1780;Rebellion or revolt;Chucuito;;;;;La Paz;;;113 spread;;O'Phelan, p. 286;;1650;178;PER;Peru;22;Puno;170;Puno;1650;Chucuito
133;1780;1780;Rebellion or revolt;Paucarcolla;;;;;La Paz;;;113 spread;;O'Phelan, p. 286;;1655;178;PER;Peru;22;Puno;170;Puno;1655;Paucarcolla
134;1781;1781;Rebellion or revolt;Paria;;;;;La Plata;;;113 spread;homicide of corregidor;O'Phelan, p. 286;;;;;;;;;;;
135;1781;1781;Rebellion or revolt;Chuquisaca;;;;;La Plata;;Bolivia;unrest in Chuquisaca;;O'Phelan, p. 286;;;;;;;;;;;
136;1781;1781;Rebellion or revolt;Cochabamba;;;;;La Plata;;Bolivia;against Aduana;;O'Phelan, p. 286;;;;;;;;;;;
137;1781;1781;Rebellion or revolt;Oruro;;;;;La Plata;;Bolivia;by creoles;against Spanish authorities and alcabala;O'Phelan, p. 286;;;;;;;;;;;
138;1781;1781;Rebellion or revolt;Tapacari;;;;;;Charcas;Bolivia;rebellion;;O'Phelan, p. 286;;;;;;;;;;;
139;1781;1781;Rebellion or revolt;Larecaja;;;;Pacajes;;;Bolivia;113 spread led by Tupac Catari;;O'Phelan, p. 286;;;;;;;;;;;
140;1781;1781;Rebellion or revolt;Omasuyos;;;;;La Paz;;Bolivia;;;O'Phelan, p. 286;;;;;;;;;;;
