TYPE;NAME;Partido;Column3;Jurisdiccion
Rancho;Huexotitlan;Apizaco;;Tlaxcala
Rancho;San Bartolomé;Apizaco;;Tlaxcala
Rancho;Zacapexco;Apizaco;;Tlaxcala
Rancho;Socaque;Apizaco;;Tlaxcala
Rancho;Tepezalam;Apizaco;;Tlaxcala
Rancho;Zotoluca;Tlaxco;;Tlaxcala
Rancho;Toltecapa;Tlaxco;;Tlaxcala
Molino;La  Palma;Tlaxco;;Tlaxcala
Rancho;Toloquilla;Tlaxco;;Tlaxcala
Rancho;Tlacotla;Tlaxco;;Tlaxcala
Rancho;Tecamacal;Tlaxco;;Tlaxcala
Rancho;San José;San Felipe;;Tlaxcala
Rancho;La Puerta;San Felipe;;Tlaxcala
Rancho;El Carmen;San Felipe;;Tlaxcala
Rancho;Zoltepeque;San Felipe;;Tlaxcala
Rancho;Caballero;San Felipe;;Tlaxcala
Rancho;Guizye;San Felipe;;Tlaxcala
Rancho;San Lorenzo;San Felipe;;Tlaxcala
Rancho;Santa Cruz;San Felipe;;Tlaxcala
Rancho;San Miguel;San Felipe;;Tlaxcala
Rancho;Mixtec;San Felipe;;Tlaxcala
Rancho;Atotonilco;San Felipe;;Tlaxcala
Rancho;Capula;San Felipe;;Tlaxcala
Rancho;Alporonga;San Felipe;;Tlaxcala
Rancho;Santo Tomás;San Felipe;;Tlaxcala
Rancho;Tepepan;Nativitas;;Tlaxcala
Rancho;Los Cinco Señores;Nativitas;;Tlaxcala
Rancho;Valbarcera;Nativitas;;Tlaxcala
Rancho;San Damián;Nativitas;;Tlaxcala
Venta;Buena Vista;;;Tlaxcala
Venta;San Antonio;;;Tlaxcala
Venta;Tenexaque;;;Tlaxcala
Venta;Capula;;;Tlaxcala
Molino;Santa María de la Defensa;;;Tlaxcala
