rowID;Region;ref_Region;ref_Jurisdiccion;ref_Obispado;Subregion.Oaxaca.;ref_Label;ref_START;Source;AGN_Type;AGN_ID;ref_END;ref_Pais;ref_Adm1
142;State of Oaxaca ;NES;;;Mixteca Alta (1629-1823) ;Santiago Tillo;1683;CDCh roll g, exp. 502 ;;;1683;MEX;Oaxaca
143;State of Oaxaca ;NES;;;Mixteca Alta (1629-1823) ;Tamazulapa;1686;CDCh roll g, exp. 520 ;;;1686;MEX;Oaxaca
144;State of Oaxaca ;NES;;;Mixteca Alta (1629-1823) ;Xaltepetongo;1688;CDCh roll g, exp. 529 ;;;1688;MEX;Oaxaca
145;State of Oaxaca ;NES;;;Mixteca Alta (1629-1823) ;Tiltepec;1692;CDCh roll 10, exp. 551 ;;;1692;MEX;Oaxaca
146;State of Oaxaca ;NES;;;Mixteca Alta (1629-1823) ;Usila;1702;AGN Indios 35 exp. 123 ;Indios;35;1702;MEX;Oaxaca
147;State of Oaxaca ;NES;;;Mixteca Alta (1629-1823) ;Yanhuitlan;1775;CDCh roll 15, exp. 410 ;;;1775;MEX;Oaxaca
148;State of Oaxaca ;NES;;;Mixteca Alta (1629-1823) ;Chalcatongo;1779;CDCh roll 15, exps. 428, 430;;;1779;MEX;Oaxaca
149;State of Oaxaca ;NES;;;Mixteca Alta (1629-1823) ;Chalcatongo;1674;CDCh roll 21, exp. 107 ;;;1674;MEX;Oaxaca
150;State of Oaxaca ;NES;;;Mixteca Alta (1629-1823) ;Achiutla;1785;CDCh roll 15, exp. 469 ;;;1785;MEX;Oaxaca
151;State of Oaxaca ;NES;;;Mixteca Alta (1629-1823) ;Yolomecatl;1743;CDCh roll 14, exp. 209 ;;;1743;MEX;Oaxaca
152;State of Oaxaca ;NES;;;Mixteca Alta (1629-1823) ;Yolomecatl;1744;CDCh roll 14, exp. 222 ;;;1744;MEX;Oaxaca
153;State of Oaxaca ;NES;;;Mixteca Alta (1629-1823) ;Santo Domingo Yodoino;1753;CDCh roll 14, exp. 251 ;;;1753;MEX;Oaxaca
154;State of Oaxaca ;NES;;;Mixteca Alta (1629-1823) ;San Andres Xinastla;1737;CDCh roll 12, exp. 172 ;;;1737;MEX;Oaxaca
155;State of Oaxaca ;NES;;;Mixteca Alta (1629-1823) ;Teozacualco ;1774;AGN Criminal 306 exps. 1, 3 ;Criminal;306;1774;MEX;Oaxaca
156;State of Oaxaca ;NES;;;Mixteca Alta (1629-1823) ;San Miguel Malinaltepec;1806;AEO Juzgados 1806;;;1806;MEX;Oaxaca
157;State of Oaxaca ;NES;;;Mixteca Alta (1629-1823) ;Theotila;1754;AGN Inquisicion 960, fols. i63-89;Inquisicion;960;1754;MEX;Oaxaca
158;State of Oaxaca ;NES;;;Mixteca Alta (1629-1823) ;Teposcolula;1777;CDCh roll 15 1785, CDCh roll 15 ;;;1777;MEX;Oaxaca
159;State of Oaxaca ;NES;;;Mixteca Alta (1629-1823) ;San Miguel el Grande;1780;CDCh roll 15 ;;;1780;MEX;Oaxaca
160;State of Oaxaca ;NES;;;Mixteca Alta (1629-1823) ;Coixtlahuaca;1822;CDCh roll 20, exps. 32, 196 ;;;1822;MEX;Oaxaca
161;State of Oaxaca ;NES;;;Mixteca Alta (1629-1823) ;San Pedro Añañe;1823;CDCh roll 21;;;1823;MEX;Oaxaca
