id_i;ref_START;ref_END;Type;ref_Label;Territory;Location2;Location3;Location4;ref_Jurisdiccion;Region;Country;NAME_2;Motive;Details;Source;Unnamed: 16;OBJECTID;ID_0;ISO;NAME_0;ID_1;NAME_1;ID_2;Unnamed: 24;ID_3;NAME_3;rowID
86;1774;1774;Rebellion or revolt;Chumbivilcas;;;;;;PER;;Chumbivilcas;homicide of Spaniard;he imprisoned local cacique;O'Phelan, p. 286;;725;178;PER;Peru;8;Cusco;73;;725;Santo Tomas;95
87;1774;1774;Rebellion or revolt;Cacamarca;;;;;Vilcashuaman;PER;;Vilcas Huamán;against obraje administration;;O'Phelan, p. 286;;548;178;PER;Peru;5;Ayacucho;53;;548;Vischongo;96
88;1774;1774;Rebellion or revolt;Huaylas;;;;;;PER;;Huaylas;homicide of alguacil;;O'Phelan, p. 286;;173;178;PER;Peru;2;Ancash;19;;173;Huaylas;97
89;1774;1774;Rebellion or revolt;Condo Condo;;;;;Paria;PER;;;by Indians;homicide of cacique and his brother as reprisal for the murder of an indio tributario;O'Phelan, p. 286;;;;;;;;;;;;98
90;1775;1775;Rebellion or revolt;Santiago de Huamachuco;;;;;;PER;;Sánchez Carrión;by Indians;against corregidor due to piara de mulas;O'Phelan, p. 286;;1176;178;PER;Peru;13;La Libertad;121;;1176;Huamachuco;99
91;1775;1775;Rebellion or revolt;Cochabamba;;;;;;CHA;Bolivia;;against establishment of local custom house;;O'Phelan, p. 286;;;;;;;;;;;;100
92;1775;1775;Rebellion or revolt;Viraco;;;;;;PER;;Castilla;by Indians;against tax collector, reparto;O'Phelan, p. 286;;394;178;PER;Peru;4;Arequipa;38;;394;Viraco;101
93;1775;1775;Rebellion or revolt;Achoma;;;;;Caylloma;PER;;Caylloma;by Indians;against corregidor, tax collections;O'Phelan, p. 286;;395;178;PER;Peru;4;Arequipa;39;;395;Achoma;102
94;1776;1776;Rebellion or revolt;Huamalies;;;;;;PER;;Huamalíes;against corregidor;corregidor dead, obraje burnt;O'Phelan, p. 286;;812;178;PER;Peru;9;Huánuco;84;;812;Llata;103
95;1777;1777;Rebellion or revolt;Maras;;;;;Urubamba;PER;;Urubamba;against corregidor;;O'Phelan, p. 286;;783;178;PER;Peru;8;Cusco;80;;783;Maras;104
