id_i;1779;END_;Type;Location1;Territory;Location2;Location3;Location4;Province;Region;Country;NAME_2;Motive;Details;Source;;OBJECTID;ID_0;ISO;NAME_0;ID_1;NAME_1;ID_2;;ID_3;NAME_3
101;1780;1780;Rebellion or revolt;Caylloma;;;;;;Peru;;Caylloma;against revisita and alcabala;;O'Phelan, p. 286;;398;178;PER;Peru;4;Arequipa;39;;398;Caylloma
102;1780;1780;Rebellion or revolt;Moquegua;;;;;;Peru;;Mariscal Nieto;against revista;;O'Phelan, p. 286;;1480;178;PER;Peru;19;Moquegua;149;;1480;Moquegua
103;1780;1780;Rebellion or revolt;Yungay;;;;;;Peru;;Yungay;against alcabala and registration;;O'Phelan, p. 286;;249;178;PER;Peru;2;Ancash;27;;249;Yungay
103;1780;1780;Rebellion or revolt;Caraz;;;;;;Peru;;Huaylas;;;O'Phelan, p. 286;;170;178;PER;Peru;2;Ancash;19;;170;Caraz
104;1780;1780;Rebellion or revolt;Huaraz;;;;;;Peru;;Huaraz;against alcabala, revisita;;O'Phelan, p. 286;;140;178;PER;Peru;2;Ancash;16;;140;Huaraz
105;1780;1780;Rebellion or revolt;Pasco;;;;;;Peru;;Pasco;against administrador de alcabalas;;O'Phelan, p. 286;;1499;178;PER;Peru;20;Pasco;152;;1499;Chaupimarca
106;1780;1780;Rebellion or revolt;La Paz;;;;;;Charcas;Bolivia;;against Aduana;;O'Phelan, p. 286;;;;;;;;;;;
107;1780;1780;Rebellion or revolt;Chongos;;;;;Jauja;Peru;;Pataz;against cajero;;O'Phelan, p. 286;;1171;178;PER;Peru;13;La Libertad;120;;1171;Tayabamba
107;1780;1780;Rebellion or revolt;Mito;;;;;Jauja;Peru;;Concepcion;;;O'Phelan, p. 286;;1022;178;PER;Peru;12;Junin;106;;1022;Mito
108;1780;1780;Rebellion or revolt;Chayanta;;;;;;Charcas;Bolivia;;against corregidor;;O'Phelan, p. 286;;;;;;;;;;;
109;1780;1780;Rebellion or revolt;Otuzco;;;;;;Peru;;Otuzco;against revisita;;O'Phelan, p. 286;;1150;178;PER;Peru;13;La Libertad;118;;1150;Otuzco
110;1780;1780;Rebellion or revolt;Huamachuco;;;;;;Peru;;Sánchez Carrión;against revisita;;O'Phelan, p. 286;;1176;178;PER;Peru;13;La Libertad;121;;1176;Huamachuco
111;1780;1780;Rebellion or revolt;Huamanga;;;;;;Peru;;Huamanga;against corregidor;;O'Phelan, p. 286;;447;178;PER;Peru;5;Ayacucho;44;;447;Ayacucho
112;1780;1780;Rebellion or revolt;Tinta;;;;;;Peru;;Canchis;led by Tupac Amaru;against alcabalas, repartos, tributos, mitas.;O'Phelan, p. 286;;718;178;PER;Peru;8;Cusco;72;;718;Tinta
113;1780;1780;Rebellion or revolt;Quipicanchis;;;;;;Peru;;Quispicanchi;several villages in Quispicanchis;;O'Phelan, p. 286;;777;178;PER;Peru;8;Cusco;79;;777;Oropesa
114;1780;1780;Rebellion or revolt;Chumbivilcas;;;;;;Peru;;Chumbivilcas;113 spread to the province ;;O'Phelan, p. 286;;725;178;PER;Peru;8;Cusco;73;;725;Santo Tomas
115;1780;1780;Rebellion or revolt;Condoroma;;;;;;Peru;;Espinar;113 spread to mines of Condoroma;;O'Phelan, p. 286;;736;178;PER;Peru;8;Cusco;75;;736;Condoroma
