ID;gz_id;foreignkey;foreignsite;foreignID;foreignprefix
365;9900739;wd:Q7282003;wd;Q7282003;https://www.wikidata.org/wiki/
366;9900739;whg:167553;whg;167553;https://whgazetteer.org/places/
367;9900738;whg:167552;whg;167552;https://whgazetteer.org/places/
368;9900737;whg:167551;whg;167551;https://whgazetteer.org/places/
369;9900736;viaf:315529971;viaf;315529971;http://viaf.org/viaf/
370;9900736;gn:3430802;gn;3430802;https://www.geonames.org/
371;9900736;loc:sh89006529;loc;sh89006529;https://lccn.loc.gov/
372;9900736;whg:167550;whg;167550;https://whgazetteer.org/places/
373;9900735;whg:167549;whg;167549;https://whgazetteer.org/places/
374;9900734;whg:167548;whg;167548;https://whgazetteer.org/places/
375;9900733;whg:167547;whg;167547;https://whgazetteer.org/places/
376;9900731;whg:167546;whg;167546;https://whgazetteer.org/places/
377;9900730;whg:167545;whg;167545;https://whgazetteer.org/places/
378;9900728;whg:167543;whg;167543;https://whgazetteer.org/places/
379;9900727;whg:167542;whg;167542;https://whgazetteer.org/places/
380;9900724;whg:167541;whg;167541;https://whgazetteer.org/places/
381;9900723;whg:167540;whg;167540;https://whgazetteer.org/places/
382;9900722;whg:167539;whg;167539;https://whgazetteer.org/places/
383;9900721;whg:167538;whg;167538;https://whgazetteer.org/places/
384;9900720;whg:167537;whg;167537;https://whgazetteer.org/places/
385;9900719;whg:167535;whg;167535;https://whgazetteer.org/places/
386;9900718;whg:167534;whg;167534;https://whgazetteer.org/places/
387;9900717;whg:167533;whg;167533;https://whgazetteer.org/places/
388;9900716;whg:167532;whg;167532;https://whgazetteer.org/places/
389;9900715;wd:Q728412;wd;Q728412;https://www.wikidata.org/wiki/
390;9900715;gn:3628853;gn;3628853;https://www.geonames.org/
391;9900715;loc:n87943963;loc;n87943963;https://lccn.loc.gov/
392;9900715;whg:167531;whg;167531;https://whgazetteer.org/places/
393;9900714;whg:167530;whg;167530;https://whgazetteer.org/places/
394;9900713;whg:167529;whg;167529;https://whgazetteer.org/places/
395;9900712;whg:167528;whg;167528;https://whgazetteer.org/places/
396;9900711;whg:167527;whg;167527;https://whgazetteer.org/places/
397;9900685;wd:Q2287765;wd;Q2287765;https://www.wikidata.org/wiki/
398;9900685;gn:3842418;gn;3842418;https://www.geonames.org/
399;9900685;whg:167498;whg;167498;https://whgazetteer.org/places/
400;9900684;gn:3847194;gn;3847194;https://www.geonames.org/
401;9900684;wd:Q6465865;wd;Q6465865;https://www.wikidata.org/wiki/
402;9900684;whg:167497;whg;167497;https://whgazetteer.org/places/
403;9900683;whg:167496;whg;167496;https://whgazetteer.org/places/
404;9900682;gn:3854724;gn;3854724;https://www.geonames.org/
405;9900682;wd:Q1014652;wd;Q1014652;https://www.wikidata.org/wiki/
406;9900682;whg:167495;whg;167495;https://whgazetteer.org/places/
407;9900681;whg:167494;whg;167494;https://whgazetteer.org/places/
408;9900680;whg:167493;whg;167493;https://whgazetteer.org/places/
409;9900679;wd:Q1395079;wd;Q1395079;https://www.wikidata.org/wiki/
410;9900679;gn:3855666;gn;3855666;https://www.geonames.org/
411;9900679;whg:167491;whg;167491;https://whgazetteer.org/places/
412;9900678;whg:167490;whg;167490;https://whgazetteer.org/places/
413;9900677;whg:167489;whg;167489;https://whgazetteer.org/places/
415;9900675;gn:3428975;gn;3428975;https://www.geonames.org/
416;9900675;loc:n99274238;loc;n99274238;https://lccn.loc.gov/
417;9900675;wd:Q2527694;wd;Q2527694;https://www.wikidata.org/wiki/
418;9900675;whg:167487;whg;167487;https://whgazetteer.org/places/
419;9900674;whg:167486;whg;167486;https://whgazetteer.org/places/
420;9900673;whg:167485;whg;167485;https://whgazetteer.org/places/
421;9900672;whg:167484;whg;167484;https://whgazetteer.org/places/
423;9900670;whg:167482;whg;167482;https://whgazetteer.org/places/
424;9900669;whg:167480;whg;167480;https://whgazetteer.org/places/
425;9900667;whg:167479;whg;167479;https://whgazetteer.org/places/
426;9900666;whg:167478;whg;167478;https://whgazetteer.org/places/
427;9900665;whg:167477;whg;167477;https://whgazetteer.org/places/
428;9900664;whg:167476;whg;167476;https://whgazetteer.org/places/
429;9900663;whg:167475;whg;167475;https://whgazetteer.org/places/
