OficialID;nombre_id;NOM_entero;Nacimiento_y;Fallecimiento_y;N_date_t;F_date_t;Nombres;particulo;Apellidos;titulo_de_nobleza;religious_order;PlaceOfBirth_Settlement;PlaceOfBirth_GZ_ID;PlaceOfBirth_Province;PlaceOfBirth_Country;Nacimiento_num;PlaceOfDeath_Settlement;PlaceOfDeath_GZ_ID;Fallecimiento_Province;PlaceOfDeath_Country;Fallecimiento_num;Fuente;Nota;flag;status;cargo_primero;cargo_ultimo;NOM_entero_STANDARD;Nombres_standard;Apellidos_standard;Apellidos_min;RANGE_S;RANGE_E;dbe;no_foreignkey;nowiki;tocayos;Nombres_alternative;Apellidos_alternative;N_date;F_date;Nom1;Nom2;Nom3;Part1;Ap1;Part2;Ap2;Part3;Ap3;N1S;N2S;N3S;A1S;A2S;A3S;flag_num;update_flag;FullOficialID
59;fernando_duran_y_chaves;Fernando Duran y Chaves;;;;;Fernando;;Duran y Chaves;;;;;;;;;;;;;;;;q;JUGDNMSA;JUGDNMSA;Fernando Duran y Chaves;Fernando;Duran y Chaves;Duran Chaves;1644;1754;;yes;;;;;;;;;;;;;;;;;;;;;;;;persIndias59
60;antonio_valverde_de_cosio;Antonio Valverde de Cosío;;1726;;1726;Antonio;;Valverde de Cosío;;;;;;;;;;;;;;;;wsmwikibatch;PRGDNM00;PRGDNM00;Antonio Valverde de Cosio;Antonio;Valverde de Cosio;Valverde Cosio;1641;1726;;yes;;;;;;;;;;;;;;;;;;;;;;;;persIndias60
61;manuel_baca;Manuel Baca;;;;;Manuel;;Baca;;;;;;;;;;;;;;;;q;JUGDNMQU;JUGDNMQU;Manuel Baca;Manuel;Baca;Baca;1642;1768;;yes;;;;;;;;;;;;;;;;;;;;;;;;persIndias61
62;carlos_fernandez;Carlos Fernández;1700;;1700;?;Carlos;;Fernández;;;Villacampo;;Zamora;ESP;;;;;;;;;;q;JUGDNMTA;JUGDNMSF;Carlos Fernandez;Carlos;Fernandez;Fernandez;1700;1828;;yes;;;;;;;;;;;;;;;;;;;;;;;;persIndias62
63;antonio_baca;Antonio Baca;;;;;Antonio;;Baca;;;Pajarito;1005514;New Mexico;USA;;;;;;;;;;q;JUGDNMQU;JUGDNMQU;Antonio Baca;Antonio;Baca;Baca;1685;1795;;yes;;;;;;;;;;;;;;;;;;;;;;;;persIndias63
65;nicolas_ortiz_ii;Nicolás Ortiz II;;;;;Nicolás;;Ortiz II;;;;;;;;;;;;;;;;q;JUGDNMTA;JUGDNMSF;Nicolas Ortiz II;Nicolas;Ortiz II;Ortiz II;1684;1804;;yes;;;;;;;;;;;;;;;;;;;;;;;;persIndias65
66;bernabe_baca;Bernabé Baca;;;;;Bernabé;;Baca;;;;;;;;;;;;;;;;q;JUGDNMLL;JUGDNMLL;Bernabe Baca;Bernabe;Baca;Baca;1673;1787;;yes;;;;;;;;;;;;;;;;;;;;;;;;persIndias66
67;jose_manuel_aragon;José Manuel Aragón;;;;;José Manuel;;Aragón;;;;;;;;;;;;;;;;q;JUGDNMLL;JUGDNMLL;Jose Manuel Aragon;Jose Manuel;Aragon;Aragon;1745;1855;;yes;;;;;;;;;;;;;;;;;;;;;;;;persIndias67
68;manuel_arteaga;Manuel Arteaga;;;;;Manuel;;Sánchez Arteaga;;;Chaián;;La Coruña;ESP;;Orense;;;ESP;;;;;q;JUGDNMAL;JUGDNMAL;Manuel Arteaga;Manuel;Arteaga;Arteaga;1730;1840;75874/manuel-sanchez-arteaga;;;;;;;;;;;;;;;;;;;;;;;;;persIndias68
69;pedro_martin;Pedro Martín;;;;;Pedro;;Martín;;;;;;;;;;;;;;;;q;JUGDNMSC;JUGDNMSC;Pedro Martin;Pedro;Martin;Martin;1702;1812;;yes;;;;;;;;;;;;;;;;;;;;;;;;persIndias69
71;francisco_ortiz;Francisco Ortiz;;;;;Francisco;;Ortiz;;;;;;;;;;;;;;;;q;JUGDNMEP;JUGDNMEP;Francisco Ortiz;Francisco;Ortiz;Ortiz;1687;1797;;yes;;;;;;;;;;;;;;;;;;;;;;;;persIndias71
73;manuel_garcia_de_mora;Manuel García de Mora;;;;;Manuel;;García de Mora;;;;;;;;;;;;;;García de Mora fue alcalde mayor de Santa Cruz y Taos. Taos no aparece como título separado.;;q;JUGDNMSC;JUGDNMSC;Manuel Garcia de Mora;Manuel;Garcia de Mora;Garcia Mora;1730;1858;;yes;;;;;;;;;;;;;;;;;;;;;;;;persIndias73
74;francisco_guerrero;Francisco Guerrero;;;;;Francisco;;Guerrero;;;;;;;;;;;;;;;;q;JUGDNMTA;JUGDNMSF;Francisco Guerrero;Francisco;Guerrero;Guerrero;1675;1811;;yes;;;;;;;;;;;;;;;;;;;;;;;;persIndias74
75;juan_manuel_alvarez_del_castillo;Juan Manuel Álvarez del Castillo;;;;;Juan Manuel;;Álvarez del Castillo;;;;;;;;;;;;;;La jurisdicción reportada incluía el partido de Zuñi.;;q;JUGDNMLL;JUGDNMLL;Juan Manuel Alvarez del Castillo;Juan Manuel;Alvarez del Castillo;Alvarez Castillo;1681;1791;;yes;;;;;;;;;;;;;;;;;;;;;;;;persIndias75
76;nicolas_ortiz_iii;Nicolás Ortíz III;;;;;Nicolás;;Ortíz III;;;;;;;;;;;;;;Probablemente su jurisdicción incluía Taos.;;q;JUGDNMSC;JUGDNMSC;Nicolas Ortiz III;Nicolas;Ortiz III;Ortiz III;1701;1811;;yes;;;;;;;;;;;;;;;;;;;;;;;;persIndias76
77;cayetano_tenorio;Cayetano Tenorio;;;;;Cayetano;;Tenorio;;;;;;;;;;;;;;;;q;JUGDNMGA;JUGDNMGA;Cayetano Tenorio;Cayetano;Tenorio;Tenorio;1700;1812;;yes;;;;;;;;;;;;;;;;;;;;;;;;persIndias77
78;tomas_antonio_sena;Tomás Antonio Sena;;;;;Tomás Antonio;;Sena;;;;;;;;;;;;;;;;q;JUGDNMGA;JUGDNMGA;Tomas Antonio Sena;Tomas Antonio;Sena;Sena;1689;1819;;yes;;;;;;;;;;;;;;;;;;;;;;;;persIndias78
79;manuel_saenz_de_garvizu;Manuel Saenz de Garvizu;;;;;Manuel;;Saenz de Garvizu;;;;;;;;;;;;;;;;q;JUGDNMGA;JUGDNMGA;Manuel Saenz de Garvizu;Manuel;Saenz de Garvizu;Saenz Garvizu;1679;1793;;yes;;;;;;;;;;;;;;;;;;;;;;;;persIndias79
80;juan_jose_moreno;Juan José Moreno;1703;;1703;?;Juan José;;Moreno;;;;;;;;;;;;;;;;q;JUGDNMGA;JUGDNMGA;Juan Jose Moreno;Juan Jose;Moreno;Moreno;1703;1798;;yes;;;;;;;;;;;;;;;;;;;;;;;;persIndias80
