ID;gz_id;label;nombre;nombrehoy;variantes;santo;fuente_ID;start;start_ex;end_;end_ex;check;template;check1;template1;wikitext1;wikitext2;wikitext
1337;1001425;Coatepec;Santa Maria Coatepec;;;Santa Maria;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1001425]]@Nombre: Santa Maria Coatepec@Santo: Santa Maria@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1001425@----;;;;;
1338;1001426;San Mateo Cuautepec;San Mateo Cuautepec;;San Mateo Coatepec;San Mateo;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1001426]]@Nombre: San Mateo Cuautepec@Santo: San Mateo@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1001426@----;;;;;
1339;1001427;Santa Maria Cuautepec;Santa Maria Cuautepec;;Santa Maria Coatepec;Santa Maria;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1001427]]@Nombre: Santa Maria Cuautepec@Santo: Santa Maria@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1001427@----;;;;;
1340;1001428;Hila;San Miguel Hila;;;San Miguel;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1001428]]@Nombre: San Miguel Hila@Santo: San Miguel@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1001428@----;;;;;
1341;1001429;Huixquilucan;San Antonio Huixquilucan;;;San Antonio;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1001429]]@Nombre: San Antonio Huixquilucan@Santo: San Antonio@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1001429@----;;;;;
1342;1001430;Jilotzingo;Santa Ana Jilotzingo;;;Santa Ana;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1001430]]@Nombre: Santa Ana Jilotzingo@Santo: Santa Ana@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1001430@----;;;;;
1343;1001431;Magu;San Francisco Magu;;;San Francisco;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1001431]]@Nombre: San Francisco Magu@Santo: San Francisco@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1001431@----;;;;;
1344;1001432;Mazatla;Santa Maria Mazatla;;;Santa Maria;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1001432]]@Nombre: Santa Maria Mazatla@Santo: Santa Maria@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1001432@----;;;;;
1345;1001433;Naucalpan;San Bartolome Naucalpan;;;San Bartolome;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1001433]]@Nombre: San Bartolome Naucalpan@Santo: San Bartolome@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1001433@----;;;;;
1346;1001434;San Andres;San Andres;;Atenco;San Andres;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1001434]]@Nombre: San Andres@Santo: San Andres@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1001434@----;;;;;
1347;1001435;San Pablo de las Salinas;San Pablo de las Salinas;;;San Pablo;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1001435]]@Nombre: San Pablo de las Salinas@Santo: San Pablo@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1001435@----;;;;;
1348;1001436;Sanctorum;San Joaquin Sanctorum;;;San Joaquin;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1001436]]@Nombre: San Joaquin Sanctorum@Santo: San Joaquin@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1001436@----;;;;;
1349;1001437;Santa Cecilia;Santa Cecilia;;;Santa Cecilia;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1001437]]@Nombre: Santa Cecilia@Santo: Santa Cecilia@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1001437@----;;;;;
1350;1001438;Santa Cruz del Monte;Santa Cruz del Monte;;;Santa Cruz;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1001438]]@Nombre: Santa Cruz del Monte@Santo: Santa Cruz@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1001438@----;;;;;
