Entidad;Nombre;Variantes;tipo;Provincia_generica;Reg;WikiID;Redirect;Entidad_alternate;START;END_;Numero_corriente;GCath;CathHierarchy;viaf;Region;Nivel_default;Comentario;Lat_Capital;Lon_Capital
PTGDGDTL;Tlajomulco;Tlajomulco @ Tlaxomulco;Partido;Guadalajara;GDJ;tlajomulco_partido_gdj;~~REDIRECT>tlajomulco_partido_gdj~~;GDGDTLPT;1111;1808;1184;;;;Nueva Galicia y Septentrion;Partido;;20.4745;-103.4466
PTGDNLAG;Agualeguas;Agualeguas @ Gualeguas;Partido;Nuevo Leon;GDJ;agualeguas_partido_gdj;~~REDIRECT>agualeguas_partido_gdj~~;GDNLAGPT;;;52;;;;Nueva Galicia y Septentrion;Partido;;;
PTGDNLSA;San Antonio de los Llanos;San Antonio de los Llanos @;Partido;Nuevo Leon;GDJ;san_antonio_de_los_llanos_partido_gdj;~~REDIRECT>san_antonio_de_los_llanos_partido_gdj~~;GDNLSAPT;1111;1751;49;;;;Nueva Galicia y Septentrion;Partido;;24.2488;-99.43602
PTGDNMCA;Carrizal;Carrizal @;Partido;Nuevo Mexico;GDJ;carrizal_partido_gdj;~~REDIRECT>carrizal_partido_gdj~~;GDNMCAPT;1758;1808;1185;;;;Nueva Galicia y Septentrion;Partido;;30.56249;-106.6515
PTGDSSBA;Badiraguato;Badiraguato @ Santiago de los Caballeros;Partido;Sonora-Sinaloa;GDJ;badiraguato_partido_gdj;~~REDIRECT>badiraguato_partido_gdj~~;GDSSBAPT;1111;1808;1186;;;;Nueva Galicia y Septentrion;Partido;;25.5581;-107.3783
PTGDSSCA;Cabazan, Piastla y Guadalupe;Cabazan, Piastla y Guadalupe @ Dihastla y Mascatlan;Partido;Sonora-Sinaloa;GDJ;cabazan,_piastla_y_guadalupe_partido_gdj;~~REDIRECT>cabazan,_piastla_y_guadalupe_partido_gdj~~;GDSSCAPT;1630;9999;1187;;;;Nueva Galicia y Septentrion;Partido;;90;0
PTGDSSMA;Mazatlan;Mazatlan @;Partido;Sonora-Sinaloa;GDJ;mazatlan_partido_gdj;~~REDIRECT>mazatlan_partido_gdj~~;GDSSMAPT;1741;1808;1188;;;;Nueva Galicia y Septentrion;Partido;;23.22344;-106.41619
PTGDSSPA;Pimeria Alta;Pimeria Alta @ Nueva Navarra;Partido;Sonora-Sinaloa;GDJ;pimeria_alta_partido_gdj;~~REDIRECT>pimeria_alta_partido_gdj~~;GDSSPAPT;1701;1808;1189;;;;Nueva Galicia y Septentrion;Partido;;90;0
PTGDSSPB;Pimeria Baja;Pimeria Baja @ Sonora @ Nuevo Reino de Andalucia;Partido;Sonora-Sinaloa;GDJ;pimeria_baja_partido_gdj;~~REDIRECT>pimeria_baja_partido_gdj~~;GDSSPBPT;1701;1808;1190;;;;Nueva Galicia y Septentrion;Partido;;90;0
PTGDSSSB;San Benito;San Benito @ Mocorito;Partido;Sonora-Sinaloa;GDJ;san_benito_partido_gdj;~~REDIRECT>san_benito_partido_gdj~~;GDSSSBPT;1742;1808;1191;;;;Nueva Galicia y Septentrion;Partido;;25.5126;-107.762
PTGDSSSO;Opateria;Opateria @ Sonora;Partido;Sonora-Sinaloa;GDJ;opateria_partido_gdj;~~REDIRECT>opateria_partido_gdj~~;GDSSSOPT;1701;1808;1192;;;;Nueva Galicia y Septentrion;Partido;;28.63;-109.61
PTGDZAFR;Fresnillo;Fresnillo @;Partido;Zacatecas;GDJ;fresnillo_partido_gdj;~~REDIRECT>fresnillo_partido_gdj~~;GDZAFRPT;1111;1808;1193;;;;Nueva Galicia y Septentrion;Partido;;23.1727;-102.8694
PTGDZATL;Tlaltenango;Tlaltenango @ Taltenango;Partido;Zacatecas;GDJ;tlaltenango_partido_gdj;~~REDIRECT>tlaltenango_partido_gdj~~;GDZATLPT;1563;1808;1194;;;;Nueva Galicia y Septentrion;Partido;;21.78227;-103.30614
PTGUCHCH;Chiapa;Chiapa @ Chiapa y Valle de Jiquipilas @;Partido;Chiapas;GUA;chiapa_partido_gua;~~REDIRECT>chiapa_partido_gua~~;GUCHCHPT;1701;1768;1195;;;;Guatemala;Partido;;16.70694;-93.01389
PTGUCHCR;Ciudad Real;Ciudad Real @ Chiapas;Partido;Chiapas;GUA;ciudad_real_partido_gua;~~REDIRECT>ciudad_real_partido_gua~~;GUCHCRPT;1701;1808;1196;;;;Guatemala;Partido;;16.73695;-92.63753
PTGUCHZE;Zendales;Zendales @ Tzendales @ Sendales @ Ocozingo @ Chontales;Partido;Chiapas;GUA;zendales_partido_gua;~~REDIRECT>zendales_partido_gua~~;GUCHZEPT;1701;1785;1197;;;;Guatemala;Partido;;16.90722;-92.09611
PTGUCHZO;Zoques;Zoques @;Partido;Chiapas;GUA;zoques_partido_gua;~~REDIRECT>zoques_partido_gua~~;GUCHZOPT;1701;1785;1198;;;;Guatemala;Partido;;17.13611;-93.31111
PTGUCRAL;Alajuela;Alajuela @;Partido;Costa Rica;GUA;alajuela_partido_gua;~~REDIRECT>alajuela_partido_gua~~;GUCRALPT;1782;9999;1743;;;;Guatemala;Partido;;10.01601;-84.21544
PTGUCRBO;Boruca;Boruca @ Buruca @ Misiones de Talamanca;Partido;Costa Rica;GUA;boruca_partido_gua;~~REDIRECT>boruca_partido_gua~~;GUCRBOPT;1111;9999;1745;;;;Guatemala;Partido;;9.00214;-83.32607
PTGUCRVC;Valle Central;Valle Central @;Partido;Costa Rica;GUA;valle_central_partido_gua;~~REDIRECT>valle_central_partido_gua~~;GUCRVCPT;1111;9999;1747;;;;Guatemala;Partido;;90;0
PTGUCRVM;Valle de Matina;Valle de Matina @ Matina;Partido;Costa Rica;GUA;valle_de_matina_partido_gua;~~REDIRECT>valle_de_matina_partido_gua~~;GUCRVMPT;1111;9999;1742;;;;Guatemala;Partido;;10.07784;-83.28976
PTGUCRVV;Villa Vieja;Villa Vieja @;Partido;Costa Rica;GUA;villa_vieja_partido_gua;~~REDIRECT>villa_vieja_partido_gua~~;GUCRVVPT;1111;9999;1744;;;;Guatemala;Partido;;9.9984;-84.11671
PTGUCYCY;Comayagua;Comayagua @;Partido;Comayagua;GUA;comayagua_partido_gua;~~REDIRECT>comayagua_partido_gua~~;GUCYCYPT;1111;1808;1199;;;;Guatemala;Partido;;14.45115;-87.63814
PTGUGUAT;Atitan;Atitan @ Atitlan;Partido;Guatemala;GUA;atitan_partido_gua;~~REDIRECT>atitan_partido_gua~~;GUGUATPT;1547;1808;1200;;;;Guatemala;Partido;;14.63796;-91.22793
PTGUGUCM;Chiquimula;Chiquimula @ Chichimula;Partido;Guatemala;GUA;chiquimula_partido_gua;~~REDIRECT>chiquimula_partido_gua~~;GUGUCMPT;1701;1808;1201;;;;Guatemala;Partido;;14.80061;-89.54405
PTGUGUES;Escuintla;Escuintla @ Escuintepeque;Partido;Guatemala;GUA;escuintla_partido_gua;~~REDIRECT>escuintla_partido_gua~~;GUGUESPT;1701;1808;1;;;;Guatemala;Partido;;14.3006;-90.786
PTGUGUGZ;Guazacapan;Guazacapan @;Partido;Guatemala;GUA;guazacapan_partido_gua;~~REDIRECT>guazacapan_partido_gua~~;GUGUGZPT;1592;1808;1202;;;;Guatemala;Partido;;14.0752;-90.4165
