gz_id;Entidad_ID;Nivel;tipo;Label;lat;lon;start;START_ex;end_;END_ex;C_START;C_Start_ex;C_END_;C_END_ex;gz_start;gz_end;tipolink;Cabecera;fuente_ID;template
1000000;JCGDGDPA;Jurisdiccion;Corregimiento;Panpuchin;90.0000000001;9.99875737762e-11;1566;ca;1599;ca;1111;start;9999;end;1111;9999;conceptos:corregimiento;[-];desconocida;[[:gazetteer:1000000|[-]]] (1566-1599)
1000000;JCGDGDPI;Jurisdiccion;Corregimiento;Piloto;90.0000000001;9.99875737762e-11;1566;ca;1599;ca;1111;start;9999;end;1111;9999;conceptos:corregimiento;[-];desconocida;[[:gazetteer:1000000|[-]]] (1566-1599)
1000000;JCGDGDSU;Jurisdiccion;Alcaldia Mayor-Corregimiento;Suchipil;90.0000000001;9.99875737762e-11;1582;ca;1589;not_after;1111;start;9999;end;1111;9999;conceptos:alcaldia_mayor;[-];desconocida;[[:gazetteer:1000000|[-]]] (1582-1589)
1000000;JCGDGDSU;Jurisdiccion;Corregimiento;Suchipil;90.0000000001;9.99875737762e-11;1549;not_after;1581;ca;1111;start;9999;end;1111;9999;conceptos:corregimiento;[-];desconocida;[[:gazetteer:1000000|[-]]] (1549-1581)
1000000;JCGDGDTE;Jurisdiccion;Corregimiento;Tetlan-Analco;90.0000000001;9.99875737762e-11;1549;not_after;1599;ca;1111;start;9999;end;1111;9999;conceptos:corregimiento;[-];desconocida;[[:gazetteer:1000000|[-]]] (1549-1599)
1000000;JCGDGDTL;Jurisdiccion;Corregimiento;Tlaquepaque;90.0000000001;9.99875737762e-11;1549;ca;1666;ca;1111;start;9999;end;1111;9999;conceptos:corregimiento;[-];desconocida;[[:gazetteer:1000000|[-]]] (1549-1666)
1000000;JCGDGDXA;Jurisdiccion;Corregimiento;Xala;90.0000000001;9.99875737762e-11;1549;not_after;1589;not_after;1111;start;9999;end;1111;9999;conceptos:corregimiento;[-];desconocida;[[:gazetteer:1000000|[-]]] (1549-1589)
1000000;JCGDGDXI;Jurisdiccion;Corregimiento;Xiquitlan;90.0000000001;9.99875737762e-11;1534;ca;1599;not_after;1111;start;9999;end;1111;9999;conceptos:corregimiento;[-];desconocida;[[:gazetteer:1000000|[-]]] (1534-1599)
1000000;JCNECOAC;Jurisdiccion;Corregimiento;Acautlan;90.0000000001;9.99875737762e-11;1545;not_after;1590;ca;1111;start;9999;end;1111;9999;conceptos:corregimiento;[-];desconocida;[[:gazetteer:1000000|[-]]] (1545-1590)
1000000;JCNECOAL;Jurisdiccion;Corregimiento;Alima;90.0000000001;9.99875737762e-11;1531;not_before;1590;ca;1111;start;9999;end;1111;9999;conceptos:corregimiento;[-];desconocida;[[:gazetteer:1000000|[-]]] (1531-1590)
1000000;JCNECOCH;Jurisdiccion;Corregimiento;Chiametla;90.0000000001;9.99875737762e-11;1545;not_after;1566;not_after;1111;start;9999;end;1111;9999;conceptos:corregimiento;[-];desconocida;[[:gazetteer:1000000|[-]]] (1545-1566)
1000000;JCNECOES;Jurisdiccion;Corregimiento;Escayamoca;90.0000000001;9.99875737762e-11;1531;not_before;1590;ca;1111;start;9999;end;1111;9999;conceptos:corregimiento;[-];desconocida;[[:gazetteer:1000000|[-]]] (1531-1590)
1000000;JCNECOIH;Jurisdiccion;Corregimiento;Ixtlahuaca;90.0000000001;9.99875737762e-11;1531;not_before;1590;ca;1111;start;9999;end;1111;9999;conceptos:corregimiento;[-];desconocida;[[:gazetteer:1000000|[-]]] (1531-1590)
1000000;JCNECOIT;Jurisdiccion;Corregimiento;Ixtapa;90.0000000001;9.99875737762e-11;1545;not_after;1590;ca;1111;start;9999;end;1111;9999;conceptos:corregimiento;[-];desconocida;[[:gazetteer:1000000|[-]]] (1545-1590)
1000000;JCNECOQU;Jurisdiccion;Corregimiento;Quezalapa;90.0000000001;9.99875737762e-11;1545;not_after;1590;ca;1111;start;9999;end;1111;9999;conceptos:corregimiento;[-];desconocida;[[:gazetteer:1000000|[-]]] (1545-1590)
1000000;JCNECOTA;Jurisdiccion;Corregimiento;Tamala;90.0000000001;9.99875737762e-11;1531;not_before;1590;ca;1111;start;9999;end;1111;9999;conceptos:corregimiento;[-];desconocida;[[:gazetteer:1000000|[-]]] (1531-1590)
1000000;JCNECOTC;Jurisdiccion;Corregimiento;Tecoman;90.0000000001;9.99875737762e-11;1531;not_before;1590;ca;1111;start;9999;end;1111;9999;conceptos:corregimiento;[-];desconocida;[[:gazetteer:1000000|[-]]] (1531-1566)
