START;END_;Tipo;Label;Nombre;Variantes;Entidad_ID;Nivel
1111;9999;Fronteras;Laguna del Parime;La Guayana;Laguna del Parime @ Guayana profunda;FRVEGULP;Partido
1111;9999;Fronteras;Paria;Paria;Paria @;FRVEGUPA;Fronteras
1111;9999;Fronteras;Paria;Paria;Paria @;FRVEGUPA;Partido
1111;9999;Fronteras;Putumayo;Putumayo;Putumayo @;MINGPOPU;Partido
1111;9999;Fronteras;Seno mexicano;La Florida;Seno mexicano @;FRQVSMXX;Fronteras
1111;9999;Fronteras;Seno mexicano;La Florida;Seno mexicano @;FRQVSMXX;Partido
1111;9999;Fronteras;Seris;Cibola;Seris @;FRANSSSE;Partido
1111;9999;Fronteras;Suerre;Rio Frio y Suerre;Rio Frio y Suerre @;FRMORFXX;Partido
1111;9999;Fronteras;Talamanca;Golfo;Talamanca @;FRMOTAXX;Partido
1111;9999;Jurisdiccion;Cartago;Cartago;Cartago @;JUGUCRCA;Jurisdiccion
1111;9999;Jurisdiccion;Cartago;Cartago;Cartago @;JUGUCRCA;Partido
1111;9999;Jurisdiccion;Esparza;Esparza;Esparza @;JUGUCRES;Jurisdiccion
1111;9999;Jurisdiccion;Esparza;Esparza;Esparza @;JUGUCRES;Partido
1111;9999;Misiones;Mapiri;Gran Paititi;Mapiri @ Misiones del Gran Paititi;PTCCLPMA;Partido
1111;9999;Partido; Alto Orinoco; Alto Orinoco;Alto Orinoco @ Alto Orinoco y Rio Negro @ Misiones jesuiticas;PTVEGUAO;Partido
1111;9999;Partido; Bajo Orinoco; Bajo Orinoco;Bajo Orinoco @ Misiones del Piritu @ Misiones observantes;PTVEGUOB;Partido
1111;9999;Partido;Boruca;Boruca;Boruca @ Buruca @ Misiones de Talamanca;PTGUCRBO;Partido
1111;9999;Partido;La Guaira;La Guaira;La Guaira @ Costa de la mar, La Guaira y Catia;PTVECALG;Partido
