fid;REG;Entidad;tipo;Label;Nombre;START;START_ex;END;END_ex;START_nb;START_na;END_nb;END_na;Agregado;Ent_identica;AbrA;AbrB;Wikilink_id;Wikilink_tipo;Entidad_alt;Wikilink;Wikilink2;Provincia_generica;Fuente;Nombre completo;Nombre_completo_wiki;Cabecera
610;CHA;JUCCPOLI;Subdelegacion;Lipes;Lipes;1784;exact;1808;hgis;;;;;False;;Sd.;Sd.;lipes_jurisdiccion_cha;conceptos:subdelegacion;CCPOLIJU;cha_potosi_lipes;CHA;Potosi;;Subdelegacion de Lipes;[[:conceptos:subdelegacion|Subdelegacion]] de Lipes;False
611;CHA;JUCCPOPR;Corregimiento;Porco;Porco;1583;not_after;1783;exact;;;;;False;;C;C;porco_jurisdiccion_cha;conceptos:corregimiento;CCPOPRJU;cha_potosi_porco;CHA;Potosi;;Corregimiento de Porco;[[:conceptos:corregimiento|Corregimiento]] de Porco;False
612;CHA;JUCCPOPR;Subdelegacion;Porco;Porco;1784;exact;1808;hgis;;;;;False;;Sd.;Sd.;porco_jurisdiccion_cha;conceptos:subdelegacion;CCPOPRJU;cha_potosi_porco;CHA;Potosi;;Subdelegacion de Porco;[[:conceptos:subdelegacion|Subdelegacion]] de Porco;False
615;CHA;PRCCPO00;Gobernacion-Intendencia;Potosi;Potosi;1784;exact;1808;hgis;;;;;False;;G;Int.;potosi_provincia_cha;conceptos:intendencia;CCPO00PR;cha_provincia_potosi;CHA;Provincia;;Gobernacion-Intendencia de Potosi;[[:conceptos:intendencia|Gobernacion-Intendencia]] de Potosi;False
617;CHA;PRCCLP00;Gobernacion-Intendencia;La Paz;La Paz;1784;exact;1808;hgis;;;;;False;;G;Int.;la paz_provincia_cha;conceptos:intendencia;CCLP00PR;cha_provincia_la paz;CHA;Provincia;;Gobernacion-Intendencia de La Paz;[[:conceptos:intendencia|Gobernacion-Intendencia]] de La Paz;False
619;CHA;PRCCCB00;Gobernacion-Intendencia;Cochabamba;Cochabamba;1784;exact;1808;hgis;;;;;False;;G;Int.;cochabamba_provincia_cha;conceptos:intendencia;CCCB00PR;cha_provincia_cochabamba;CHA;Provincia;;Gobernacion-Intendencia de Cochabamba;[[:conceptos:intendencia|Gobernacion-Intendencia]] de Cochabamba;False
620;CHA;JUCCCBCH;Corregimiento;Chiquitos;Chiquitos;1772;exact;1776;exact;;;;;False;;C;C;chiquitos_jurisdiccion_cha;conceptos:corregimiento;CCCBCHJU;cha_cochabamba_chiquitos;CHA;Cochabamba;;Corregimiento de Chiquitos;[[:conceptos:corregimiento|Corregimiento]] de Chiquitos;False
621;CHA;JUCCCBCH;Gobernacion;Chiquitos;Chiquitos;1777;exact;1808;hgis;;;;;False;;G;Gob.;chiquitos_jurisdiccion_cha;conceptos:gobernacion;CCCBCHJU;cha_cochabamba_chiquitos;CHA;Cochabamba;;Gobernacion de Chiquitos;[[:conceptos:gobernacion|Gobernacion]] de Chiquitos;False
623;CHA;JUCCCBCH;Misiones;Chiquitos;Chiquitos;1701;hgis;1771;exact;;;;;False;;Mis.;Mis.;chiquitos_jurisdiccion_cha;conceptos:misiones;CCCBCHJU;cha_cochabamba_chiquitos;CHA;Cochabamba;;Misiones de Chiquitos;[[:conceptos:misiones|Misiones]] de Chiquitos;False
624;CHA;JUCCCBMO;Misiones;Moxos;Moxos;1701;hgis;1771;exact;;;;;False;;Mis.;Mis.;moxos_jurisdiccion_cha;conceptos:misiones;CCCBMOJU;cha_cochabamba_moxos;CHA;Cochabamba;;Misiones de Moxos;[[:conceptos:misiones|Misiones]] de Moxos;False
625;CHA;JUCCCBMO;Corregimiento;Moxos;Moxos;1772;exact;1776;exact;;;;;False;;C;C;moxos_jurisdiccion_cha;conceptos:corregimiento;CCCBMOJU;cha_cochabamba_moxos;CHA;Cochabamba;;Corregimiento de Moxos;[[:conceptos:corregimiento|Corregimiento]] de Moxos;False
626;CHA;JUCCCBMO;Gobernacion;Moxos;Moxos;1777;exact;1808;hgis;;;;;False;;G;Gob.;moxos_jurisdiccion_cha;conceptos:gobernacion;CCCBMOJU;cha_cochabamba_moxos;CHA;Cochabamba;;Gobernacion de Moxos;[[:conceptos:gobernacion|Gobernacion]] de Moxos;False
627;CHA;PRCCCC00;Gobernacion-Intendencia;Chuquisaca;Chuquisaca;1784;exact;1808;hgis;;;;;False;;G;Int.;charcas_provincia_cha;conceptos:intendencia;CCCC00PR;cha_provincia_charcas;CHA;Provincia;;Gobernacion-Intendencia de Chuquisaca;[[:conceptos:intendencia|Gobernacion-Intendencia]] de Chuquisaca;False
628;CHA;JUCCCCOR;Corregimiento;Oruro;Oruro;1612;exact;1808;hgis;;;;;False;;C;C;oruro_jurisdiccion_cha;conceptos:corregimiento;CCCCORJU;cha_charcas_oruro;CHA;Charcas;;Corregimiento de Oruro;[[:conceptos:corregimiento|Corregimiento]] de Oruro;False
629;CHA;MICCCBRG;Misiones;Rio Grande;Rio Grande;1766;ca;1808;hgis;;;;;False;;Mis.;Mis.;rio grande_misiones_cha;conceptos:misiones;CCCBRGMI;cha_cochabamba_rio grande;CHA;Cochabamba;;Misiones de Rio Grande;[[:conceptos:misiones|Misiones]] de Rio Grande;False
