OficialID;foreignkey;prefix;prefixurl
1343;bfuen;cathie;https://www.catholic-hierarchy.org/bishop/
1344;18482;GCath;
1344;bramdar;cathie;https://www.catholic-hierarchy.org/bishop/
1345;18483;GCath;
1346;18484;GCath;
1346;bgeral;cathie;https://www.catholic-hierarchy.org/bishop/
1347;19077;GCath;
1347;bmansoy;cathie;https://www.catholic-hierarchy.org/bishop/
1348;19259;GCath;
1348;bdomii;cathie;https://www.catholic-hierarchy.org/bishop/
1349;19260;GCath;
1349;bsaga;cathie;https://www.catholic-hierarchy.org/bishop/
1350;19261;GCath;
1350;bmarcom;cathie;https://www.catholic-hierarchy.org/bishop/
1351;19262;GCath;
1351;balvcas;cathie;https://www.catholic-hierarchy.org/bishop/
1352;19263;GCath;
1352;bcamroj;cathie;https://www.catholic-hierarchy.org/bishop/
1353;19264;GCath;
1353;braga;cathie;https://www.catholic-hierarchy.org/bishop/
1354;19265;GCath;
1354;brima;cathie;https://www.catholic-hierarchy.org/bishop/
1355;19266;GCath;
1355;bsosab;cathie;https://www.catholic-hierarchy.org/bishop/
1356;19267;GCath;
1356;bararoj;cathie;https://www.catholic-hierarchy.org/bishop/
1357;19268;GCath;
1357;bazuitu;cathie;https://www.catholic-hierarchy.org/bishop/
1358;19269;GCath;
1358;bfermin;cathie;https://www.catholic-hierarchy.org/bishop/
1359;Francisco Cossio y Otero;wiki-es;https://es.wikipedia.org/wiki/
1359;19270;GCath;
1359;bcosio;cathie;https://www.catholic-hierarchy.org/bishop/
1360;19271;GCath;
1360;bdeurbina;cathie;https://www.catholic-hierarchy.org/bishop/
1361;19272;GCath;
1361;bsalo;cathie;https://www.catholic-hierarchy.org/bishop/
1362;19273;GCath;
1362;barguy;cathie;https://www.catholic-hierarchy.org/bishop/
1363;19274;GCath;
1363;bdtor;cathie;https://www.catholic-hierarchy.org/bishop/
1364;19275;GCath;
1364;bcort;cathie;https://www.catholic-hierarchy.org/bishop/
1365;19276;GCath;
1365;9883279;viaf;https://viaf.org/viaf/
1365;bariuga;cathie;https://www.catholic-hierarchy.org/bishop/
1366;19277;GCath;
1366;borfl;cathie;https://www.catholic-hierarchy.org/bishop/
1367;19278;GCath;
1367;bcastrj;cathie;https://www.catholic-hierarchy.org/bishop/
1368;19279;GCath;
1368;86866018;viaf;https://viaf.org/viaf/
1368;blobog;cathie;https://www.catholic-hierarchy.org/bishop/
1369;19280;GCath;
1369;bmamm;cathie;https://www.catholic-hierarchy.org/bishop/
1370;19281;GCath;
1370;60729141;viaf;https://viaf.org/viaf/
1370;bcardl;cathie;https://www.catholic-hierarchy.org/bishop/
1371;19288;GCath;
1371;brodca;cathie;https://www.catholic-hierarchy.org/bishop/
1372;19289;GCath;
