REG;gz_id;InstID;Label;Tipo;Cardinalidad;Rango;Lugar;START_;START_ex;END_;END_ex;Nota;Fuente;Orden;Superior;Principal;Domain
SDO;3000183;Correo_3000183;Estafeta de correo de Dajabon;Estafeta de correo;Estafeta;4;Dajabon;1773;exact;1801;exact;;AGI_Correos;;Santo Domingo;Santo Domingo;Correo
SDO;3000224;Correo_3000224;Estafeta de correo de Cotui;Estafeta de correo;Estafeta;4;Cotui;1773;exact;1801;exact;;AGI_Correos;;Santo Domingo;Santo Domingo;Correo
SDO;3000225;Correo_3000225;Estafeta de correo de Banica;Estafeta de correo;Estafeta;4;Banica;1773;exact;1801;exact;;AGI_Correos;;Santo Domingo;Santo Domingo;Correo
SDO;3000226;Correo_3000226;Estafeta de correo de Azua;Estafeta de correo;Estafeta;4;Azua;1773;exact;1801;exact;;AGI_Correos;;Santo Domingo;Santo Domingo;Correo
SDO;3000233;Correo_3000233;Estafeta de correo de Santiago de los Caballeros;Estafeta de correo;Estafeta;4;Santiago de los Caballeros;1767;exact;1801;exact;;AGI_Correos;;Santo Domingo;Santo Domingo;Correo
SDO;3000246;Correo_3000246;Estafeta de correo de San Antonio de las Vegas;Estafeta de correo;Estafeta;4;San Antonio de las Vegas;1801;;9999;;;AGI_Correos;;La Habana;La Habana;Correo
SDO;3000321;Correo_3000321;Estafeta de correo de Hincha;Estafeta de correo;Estafeta;4;Hincha;1773;exact;1801;exact;;AGI_Correos;;Santo Domingo;Santo Domingo;Correo
SDO;3000322;Correo_3000322;Estafeta de correo de Bani;Estafeta de correo;Estafeta;4;Bani;1773;exact;1801;exact;;AGI_Correos;;Santo Domingo;Santo Domingo;Correo
VEN;4000001;Correo_4000001;Administración principal de correo de Caracas;Administración principal de correo;Principal;1;Caracas;1768;;9999;;;AGI_Correos;;;;Correo
VEN;4000002;Correo_4000002;Estafeta de correo de Coro;Estafeta de correo;Estafeta;4;Coro;1797;;9999;;;AGI_Correos;;Caracas;Caracas;Correo
VEN;4000003;Correo_4000003;Estafeta de correo de El Tocuyo;Estafeta de correo;Estafeta;4;El Tocuyo;1802;exact;9999;exact;;AGI_Correos;;Caracas;Caracas;Correo
VEN;4000004;Correo_4000004;Estafeta de correo de isla Trinidad;Estafeta de correo;Estafeta;4;isla Trinidad;1765;;1776;;;AGI_Correos;;Caracas;Caracas;Correo
VEN;4000004;Correo_4000004;Estafeta de correo de isla Trinidad;Estafeta de correo;Estafeta;4;isla Trinidad;1777;;1786;;;AGI_Correos;;Puerto Rico;Puerto Rico;Correo
